DEL komplett	DEL Schnittmenge	id0	url0	label0	label@fr0	label@de0	id1	url1	label1	label@fr1	label@de1	id2	url2	label2	label@fr2	label@de2	id3	url3	label3	label@fr3	label@de3	id4	url4	label4	label@fr4	label@de4
Autorité politique, gouvernement, pouvoir	
"Aventurier "		Q3202738	https://www.wikidata.org/wiki/Q3202738	L'Aventurier	L'Aventurier		Q27043403	https://www.wikidata.org/wiki/Q27043403	Catherine Aventurier	Catherine Aventurier	Catherine Aventurier	Q2975757	https://www.wikidata.org/wiki/Q2975757	Aventurier-class destroyer	classe Aventurier		Q47522711	https://www.wikidata.org/wiki/Q47522711	Alain Aventurier			Q27043401	https://www.wikidata.org/wiki/Q27043401			Paul Gauguin, Vincent van Gogh: Huis clos sous le soleil du Midi
"Balistique "		Q59201015	https://www.wikidata.org/wiki/Q59201015	Balistique lésionnelle et lésions de blast			Q179348	https://www.wikidata.org/wiki/Q179348	ballistic missile	missile balistique	Ballistische Rakete	Q184631	https://www.wikidata.org/wiki/Q184631	ballistics	balistique	Ballistik	Q369330	https://www.wikidata.org/wiki/Q369330	medium-range ballistic missile	Missile balistique à moyenne portée	Mittelstreckenrakete	Q392399	https://www.wikidata.org/wiki/Q392399	Tactical ballistic missile	missile balistique tactique	
"Balkans "		Q23522	https://www.wikidata.org/wiki/Q23522	Balkans	Balkans	Balkanhalbinsel	Q201111	https://www.wikidata.org/wiki/Q201111	Aromanians	Aroumains	Aromunen	Q4851104	https://www.wikidata.org/wiki/Q4851104	Balkans	Balkans		Q6967370	https://www.wikidata.org/wiki/Q6967370	Parascheva of the Balkans	Parascheva des Balkans	Paraskevi von Iași	Q177918	https://www.wikidata.org/wiki/Q177918	First Balkan War	première guerre balkanique	Erster Balkankrieg
Banques		Q27800043	https://www.wikidata.org/wiki/Q27800043	Cerro Los Banques			Q7886407	https://www.wikidata.org/wiki/Q7886407	Union des Banques Congolaises	Union des Banques Congolaises	Union des Banques Congolaises	Q3091607	https://www.wikidata.org/wiki/Q3091607	Fédération des banques et assurances CFDT	Fédération des banques et assurances CFDT	Fédération des banques et assurances CFDT	Q27118654	https://www.wikidata.org/wiki/Q27118654	Les Blanche Banques		Les Blanches Banques	Q2867387	https://www.wikidata.org/wiki/Q2867387	Association Congolaise des Banques	Association congolaise des banques	
"Barbare, sauvage "		Q90159316	https://www.wikidata.org/wiki/Q90159316	Barbare et sauvages	Barbare et sauvages	Barbare et sauvages
Barbare, sauvage (Représentations du)	
"Baroque "		Q8361	https://www.wikidata.org/wiki/Q8361	baroque music	musique baroque	Barockmusik	Q37853	https://www.wikidata.org/wiki/Q37853	Baroque	baroque	Barock	Q840829	https://www.wikidata.org/wiki/Q840829	baroque architecture	architecture baroque	Barockarchitektur	Q46046	https://www.wikidata.org/wiki/Q46046	baroque pop	pop baroque	Barock Pop	Q911397	https://www.wikidata.org/wiki/Q911397	Baroque Revival architecture	Néobaroque	Neobarock
"Beau "		Q19962582	https://www.wikidata.org/wiki/Q19962582	Beau	Beau	Beau	Q309640	https://www.wikidata.org/wiki/Q309640	Beau Bridges	Beau Bridges	Beau Bridges	Q16275016	https://www.wikidata.org/wiki/Q16275016	Beau	Beau	Beau	Q4877326	https://www.wikidata.org/wiki/Q4877326	Beau	Beau	Beau	Q813337	https://www.wikidata.org/wiki/Q813337	Beau Bassin-Rose Hill	Beau-Bassin Rose-Hill	Beau Bassin-Rose Hill
"Bible "		Q1845	https://www.wikidata.org/wiki/Q1845	Bible	Bible	Bibel	Q86860	https://www.wikidata.org/wiki/Q86860	Bible translation	traduction de la Bible	Bibelübersetzung	Q83367	https://www.wikidata.org/wiki/Q83367	Tanakh	Tanakh	Tanach	Q29154550	https://www.wikidata.org/wiki/Q29154550	verse of the Bible	verset de la Bible	Bibelvers	Q24262584	https://www.wikidata.org/wiki/Q24262584	Bible translator	traducteur de la Bible	Bibelübersetzer
